period,metric,value,unit
2025,revenue_DDR系列,19531285600.0,元
2024,revenue_DDR系列,3173973300.0,元
2023,revenue_DDR系列,1827166900.0,元
2025,revenue_LPDDR系列,40703545000.0,元
2024,revenue_LPDDR系列,19798258600.0,元
2023,revenue_LPDDR系列,6756072500.0,元
2025,revenue_小计,61275372100.0,元
2024,revenue_小计,23928751400.0,元
2023,revenue_小计,9063143700.0,元
2025,revenue,61799321546.81,元
2024,revenue,24178248674.03,元
2023,revenue,9087147184.13,元
2025,cost,36465406329.12,元
2024,cost,22829536568.89,元
2023,cost,9262565994.86,元
2025,rd_expense,9593254617.13,元
2024,rd_expense,4607283459.75,元
2023,rd_expense,4520470733.55,元
2025,net_profit,7144237147.99,元
2024,net_profit,-9051000437.19,元
2023,net_profit,-19224886331.75,元
2025,net_profit_parent,1874859379.01,元
2024,net_profit_parent,-7144887248.88,元
2023,net_profit_parent,-16339777193.36,元
2026Q1,revenue,50800145500.0,元
2025Q1,revenue,6201690500.0,元
2026Q1,net_profit_parent,24762031500.0,元
2025Q1,net_profit_parent,-1559027900.0,元
