name,code,benchmark,alpha_ann_pct,beta,r2,nobs,beta_pvalue,beta_mu,beta_mu_pvalue
兆易创新,603986,沪深300,31.689947079866414,1.3797708987485975,0.23804818681865025,1542,5.047312270944702e-93,,
兆易创新,603986,科创50,21.856432758763972,1.017560464886784,0.38720889515018164,1542,5.549839239381844e-166,,
兆易创新,603986,沪深300+MU,25.80605596807215,1.3583712696358574,0.24322737818653273,1488,4.381255933437054e-88,0.042343243375490384,0.06282141047443282
澜起科技,688008,沪深300,30.343902830207153,1.3080043641205892,0.2053038843975702,1542,6.392439828409168e-79,,
澜起科技,688008,科创50,18.412828726333892,1.16862078932211,0.4901172134070605,1542,1.6399730041712535e-227,,
澜起科技,688008,沪深300+MU,33.116869504959816,1.303210868845003,0.210792819476894,1488,3.3552275748494974e-75,0.0380015767511617,0.11212449837734072
北京君正,300223,沪深300,18.865066128285207,1.425672512505768,0.21467444598924434,1542,6.752838241058072e-83,,
北京君正,300223,科创50,7.953231247911487,1.1101434316249963,0.3892897283984038,1542,4.033247495425886e-167,,
北京君正,300223,沪深300+MU,14.381491409969646,1.4090882439763928,0.21504677301143738,1488,1.1901947683184731e-77,0.026789782254896116,0.29127777368695845
中芯国际,688981,沪深300,14.559541645226828,1.0425563153080515,0.18871537436989982,1408,6.877686006776401e-66,,
中芯国际,688981,科创50,8.37994424555905,1.0040395189896134,0.4822501741884454,1408,3.2526427050375305e-203,,
北方华创,002371,沪深300,45.413243008889125,1.2183709821877076,0.19581558857010728,1542,6.093786806233221e-75,,
北方华创,002371,科创50,35.108766277834505,1.0252874283397415,0.4147184840423801,1542,2.342818327254494e-181,,
